lemma,list,rank
allow,NGSL,324
soon,NGSL,325
watch,NGSL,326
base,NGSL,327
probably,NGSL,328
suggest,NGSL,329
past,NGSL,330
power,NGSL,331
test,NGSL,332
visit,NGSL,333
center,NGSL,334
grow,NGSL,335
nothing,NGSL,336
return,NGSL,337
mother,NGSL,338
walk,NGSL,339
matter,NGSL,340
mind,NGSL,341
value,NGSL,342
office,NGSL,343
record,NGSL,344
stay,NGSL,345
force,NGSL,346
stop,NGSL,347
several,NGSL,348
light,NGSL,349
develop,NGSL,350
remember,NGSL,351
bit,NGSL,352
share,NGSL,353
real,NGSL,354
answer,NGSL,355
sit,NGSL,356
figure,NGSL,357
letter,NGSL,358
decide,NGSL,359
language,NGSL,360
subject,NGSL,361
class,NGSL,362
development,NGSL,363
town,NGSL,364
half,NGSL,365
minute,NGSL,366
food,NGSL,367
break,NGSL,368
clear,NGSL,369
future,NGSL,370
either,NGSL,371
ago,NGSL,372
per,NGSL,373
remain,NGSL,374
top,NGSL,375
among,NGSL,376
win,NGSL,377
color,NGSL,378
involve,NGSL,379
reach,NGSL,380
social,NGSL,381
period,NGSL,382
across,NGSL,383
note,NGSL,384
history,NGSL,385
create,NGSL,386
drive,NGSL,387
along,NGSL,388
type,NGSL,389
sound,NGSL,390
eye,NGSL,391
music,NGSL,392
game,NGSL,393
political,NGSL,394
free,NGSL,395
receive,NGSL,396
moment,NGSL,397
sale,NGSL,398
policy,NGSL,399
further,NGSL,400
body,NGSL,401
require,NGSL,402
wait,NGSL,403
general,NGSL,404
appear,NGSL,405
toward,NGSL,406
team,NGSL,407
easy,NGSL,408
individual,NGSL,409
full,NGSL,410
black,NGSL,411
sense,NGSL,412
perhaps,NGSL,413
add,NGSL,414
rule,NGSL,415
pass,NGSL,416
produce,NGSL,417
sell,NGSL,418
short,NGSL,419
agree,NGSL,420
law,NGSL,421
everything,NGSL,422
research,NGSL,423
cover,NGSL,424
paper,NGSL,425
position,NGSL,426
near,NGSL,427
human,NGSL,428
computer,NGSL,429
situation,NGSL,430
staff,NGSL,431
activity,NGSL,432
film,NGSL,433
morning,NGSL,434
war,NGSL,435
account,NGSL,436
shop,NGSL,437
major,NGSL,438
someone,NGSL,439
above,NGSL,440
design,NGSL,441
event,NGSL,442
special,NGSL,443
sometimes,NGSL,444
condition,NGSL,445
carry,NGSL,446
choose,NGSL,447
father,NGSL,448
decision,NGSL,449
table,NGSL,450
certain,NGSL,451
forward,NGSL,452
main,NGSL,453
die,NGSL,454
bear,NGSL,455
cut,NGSL,456
describe,NGSL,457
himself,NGSL,458
available,NGSL,459
especially,NGSL,460
strong,NGSL,461
rise,NGSL,462
girl,NGSL,463
maybe,NGSL,464
community,NGSL,465
else,NGSL,466
particular,NGSL,467
role,NGSL,468
join,NGSL,469
difficult,NGSL,470
please,NGSL,471
detail,NGSL,472
difference,NGSL,473
action,NGSL,474
health,NGSL,475
eat,NGSL,476
step,NGSL,477
true,NGSL,478
phone,NGSL,479
themselves,NGSL,480
draw,NGSL,481
white,NGSL,482
date,NGSL,483
practice,NGSL,484
model,NGSL,485
raise,NGSL,486
customer,NGSL,487
front,NGSL,488
explain,NGSL,489
door,NGSL,490
outside,NGSL,491
behind,NGSL,492
economic,NGSL,493
site,NGSL,494
approach,NGSL,495
teacher,NGSL,496
land,NGSL,497
charge,NGSL,498
finally,NGSL,499
sign,NGSL,500
claim,NGSL,501
relationship,NGSL,502
travel,NGSL,503
enjoy,NGSL,504
death,NGSL,505
nice,NGSL,506
amount,NGSL,507
improve,NGSL,508
picture,NGSL,509
boy,NGSL,510
regard,NGSL,511
organization,NGSL,512
happy,NGSL,513
couple,NGSL,514
act,NGSL,515
range,NGSL,516
quality,NGSL,517
project,NGSL,518
round,NGSL,519
opportunity,NGSL,520
road,NGSL,521
accord,NGSL,522
list,NGSL,523
wish,NGSL,524
therefore,NGSL,525
wear,NGSL,526
fund,NGSL,527
rest,NGSL,528
kid,NGSL,529
industry,NGSL,530
education,NGSL,531
measure,NGSL,532
kill,NGSL,533
serve,NGSL,534
likely,NGSL,535
certainly,NGSL,536
national,NGSL,537
itself,NGSL,538
teach,NGSL,539
field,NGSL,540
security,NGSL,541
air,NGSL,542
benefit,NGSL,543
trade,NGSL,544
risk,NGSL,545
news,NGSL,546
standard,NGSL,547
vote,NGSL,548
percent,NGSL,549
focus,NGSL,550
stage,NGSL,551
space,NGSL,552
instead,NGSL,553
realize,NGSL,554
usually,NGSL,555
data,NGSL,556
single,NGSL,557
address,NGSL,558
performance,NGSL,559
chance,NGSL,560
accept,NGSL,561
society,NGSL,562
technology,NGSL,563
mention,NGSL,564
choice,NGSL,565
save,NGSL,566
common,NGSL,567
culture,NGSL,568
total,NGSL,569
demand,NGSL,570
material,NGSL,571
limit,NGSL,572
listen,NGSL,573
due,NGSL,574
wrong,NGSL,575
foot,NGSL,576
effort,NGSL,577
attention,NGSL,578
upon,NGSL,579
check,NGSL,580
complete,NGSL,581
lie,NGSL,582
pick,NGSL,583
reduce,NGSL,584
personal,NGSL,585
ground,NGSL,586
animal,NGSL,587
arrive,NGSL,588
patient,NGSL,589
current,NGSL,590
century,NGSL,591
evidence,NGSL,592
exist,NGSL,593
similar,NGSL,594
fight,NGSL,595
leader,NGSL,596
fine,NGSL,597
street,NGSL,598
former,NGSL,599
contact,NGSL,600
particularly,NGSL,601
wife,NGSL,602
sport,NGSL,603
prepare,NGSL,604
discuss,NGSL,605
response,NGSL,606
voice,NGSL,607
piece,NGSL,608
finish,NGSL,609
suppose,NGSL,610
apply,NGSL,611
president,NGSL,612
fire,NGSL,613
compare,NGSL,614
court,NGSL,615
police,NGSL,616
store,NGSL,617
poor,NGSL,618
knowledge,NGSL,619
laugh,NGSL,620
arm,NGSL,621
heart,NGSL,622
source,NGSL,623
employee,NGSL,624
manage,NGSL,625
simply,NGSL,626
bank,NGSL,627
firm,NGSL,628
cell,NGSL,629
article,NGSL,630
fast,NGSL,631
attack,NGSL,632
foreign,NGSL,633
surprise,NGSL,634
feature,NGSL,635
factor,NGSL,636
pretty,NGSL,637
recently,NGSL,638
affect,NGSL,639
drop,NGSL,640
recent,NGSL,641
relate,NGSL,642
official,NGSL,643
financial,NGSL,644
miss,NGSL,645
art,NGSL,646
campaign,NGSL,647
private,NGSL,648
pause,NGSL,649
everyone,NGSL,650
forget,NGSL,651
page,NGSL,652
worry,NGSL,653
summer,NGSL,654
drink,NGSL,655
opinion,NGSL,656
park,NGSL,657
represent,NGSL,658
key,NGSL,659
inside,NGSL,660
manager,NGSL,661
international,NGSL,662
contain,NGSL,663
notice,NGSL,664
wonder,NGSL,665
nature,NGSL,666
structure,NGSL,667
section,NGSL,668
myself,NGSL,669
exactly,NGSL,670
plant,NGSL,671
paint,NGSL,672
worker,NGSL,673
press,NGSL,674
whatever,NGSL,675
necessary,NGSL,676
region,NGSL,677
growth,NGSL,678
evening,NGSL,679
influence,NGSL,680
respect,NGSL,681
various,NGSL,682
catch,NGSL,683
thus,NGSL,684
skill,NGSL,685
attempt,NGSL,686
son,NGSL,687
simple,NGSL,688
medium,NGSL,689
average,NGSL,690
stock,NGSL,691
management,NGSL,692
character,NGSL,693
bed,NGSL,694
hit,NGSL,695
establish,NGSL,696
indeed,NGSL,697
final,NGSL,698
economy,NGSL,699
fit,NGSL,700
guy,NGSL,701
function,NGSL,702
yesterday,NGSL,703
image,NGSL,704
size,NGSL,705
behavior,NGSL,706
addition,NGSL,707
determine,NGSL,708
station,NGSL,709
population,NGSL,710
fail,NGSL,711
environment,NGSL,712
production,NGSL,713
contract,NGSL,714
player,NGSL,715
comment,NGSL,716
enter,NGSL,717
occur,NGSL,718
alone,NGSL,719
significant,NGSL,720
drug,NGSL,721
wall,NGSL,722
series,NGSL,723
direct,NGSL,724
success,NGSL,725
tomorrow,NGSL,726
director,NGSL,727
clearly,NGSL,728
lack,NGSL,729
review,NGSL,730
depend,NGSL,731
race,NGSL,732
recognize,NGSL,733
window,NGSL,734
purpose,NGSL,735
department,NGSL,736
gain,NGSL,737
tree,NGSL,738
college,NGSL,739
argue,NGSL,740
board,NGSL,741
holiday,NGSL,742
mark,NGSL,743
church,NGSL,744
machine,NGSL,745
achieve,NGSL,746
item,NGSL,747
prove,NGSL,748
cent,NGSL,749
season,NGSL,750
floor,NGSL,751
stuff,NGSL,752
wide,NGSL,753
anyone,NGSL,754
method,NGSL,755
analysis,NGSL,756
election,NGSL,757
military,NGSL,758
hotel,NGSL,759
club,NGSL,760
below,NGSL,761
movie,NGSL,762
doctor,NGSL,763
discussion,NGSL,764
sorry,NGSL,765
challenge,NGSL,766
nation,NGSL,767
nearly,NGSL,768
statement,NGSL,769
link,NGSL,770
despite,NGSL,771
introduce,NGSL,772
advantage,NGSL,773
ready,NGSL,774
marry,NGSL,775
strike,NGSL,776
mile,NGSL,777
seek,NGSL,778
ability,NGSL,779
unit,NGSL,780
card,NGSL,781
hospital,NGSL,782
quickly,NGSL,783
interview,NGSL,784
agreement,NGSL,785
release,NGSL,786
tax,NGSL,787
solution,NGSL,788
capital,NGSL,789
popular,NGSL,790
specific,NGSL,791
beautiful,NGSL,792
fear,NGSL,793
aim,NGSL,794
television,NGSL,795
serious,NGSL,796
target,NGSL,797
degree,NGSL,798
pull,NGSL,799
red,NGSL,800
husband,NGSL,801
access,NGSL,802
movement,NGSL,803
treat,NGSL,804
identify,NGSL,805
loss,NGSL,806
shall,NGSL,807
modern,NGSL,808
pressure,NGSL,809
bus,NGSL,810
treatment,NGSL,811
yourself,NGSL,812
supply,NGSL,813
village,NGSL,814
worth,NGSL,815
natural,NGSL,816
express,NGSL,817
indicate,NGSL,818
attend,NGSL,819
brother,NGSL,820
investment,NGSL,821
score,NGSL,822
organize,NGSL,823
trip,NGSL,824
beyond,NGSL,825
sleep,NGSL,826
fish,NGSL,827
promise,NGSL,828
potential,NGSL,829
energy,NGSL,830
trouble,NGSL,831
relation,NGSL,832
touch,NGSL,833
file,NGSL,834
middle,NGSL,835
bar,NGSL,836
suffer,NGSL,837
strategy,NGSL,838
deep,NGSL,839
except,NGSL,840
clean,NGSL,841
tend,NGSL,842
advance,NGSL,843
fill,NGSL,844
star,NGSL,845
network,NGSL,846
generally,NGSL,847
operation,NGSL,848
match,NGSL,849
avoid,NGSL,850
seat,NGSL,851
throw,NGSL,852
task,NGSL,853
normal,NGSL,854
goal,NGSL,855
associate,NGSL,856
blue,NGSL,857
positive,NGSL,858
option,NGSL,859
box,NGSL,860
huge,NGSL,861
message,NGSL,862
instance,NGSL,863
style,NGSL,864
refer,NGSL,865
cold,NGSL,866
push,NGSL,867
quarter,NGSL,868
assume,NGSL,869
baby,NGSL,870
successful,NGSL,871
sing,NGSL,872
doubt,NGSL,873
competition,NGSL,874
theory,NGSL,875
propose,NGSL,876
reference,NGSL,877
argument,NGSL,878
adult,NGSL,879
fly,NGSL,880
document,NGSL,881
pattern,NGSL,882
application,NGSL,883
hot,NGSL,884
obviously,NGSL,885
unclear,NGSL,886
bill,NGSL,887
search,NGSL,888
separate,NGSL,889
central,NGSL,890
career,NGSL,891
anyway,NGSL,892
speech,NGSL,893
dog,NGSL,894
officer,NGSL,895
throughout,NGSL,896
oil,NGSL,897
dress,NGSL,898
profit,NGSL,899
guess,NGSL,900
fun,NGSL,901
protect,NGSL,902
resource,NGSL,903
science,NGSL,904
disease,NGSL,905
balance,NGSL,906
damage,NGSL,907
basis,NGSL,908
author,NGSL,909
basic,NGSL,910
encourage,NGSL,911
hair,NGSL,912
male,NGSL,913
operate,NGSL,914
reflect,NGSL,915
exercise,NGSL,916
useful,NGSL,917
restaurant,NGSL,918
income,NGSL,919
property,NGSL,920
previous,NGSL,921
dark,NGSL,922
imagine,NGSL,923
okay,NGSL,924
earn,NGSL,925
daughter,NGSL,926
post,NGSL,927
newspaper,NGSL,928
define,NGSL,929
conclusion,NGSL,930
clock,NGSL,931
everybody,NGSL,932
weekend,NGSL,933
perform,NGSL,934
professional,NGSL,935
mine,NGSL,936
debate,NGSL,937
memory,NGSL,938
green,NGSL,939
song,NGSL,940
object,NGSL,941
maintain,NGSL,942
credit,NGSL,943
ring,NGSL,944
discover,NGSL,945
dead,NGSL,946
afternoon,NGSL,947
prefer,NGSL,948
extend,NGSL,949
possibility,NGSL,950
direction,NGSL,951
facility,NGSL,952
variety,NGSL,953
daily,NGSL,954
clothes,NGSL,955
screen,NGSL,956
track,NGSL,957
dance,NGSL,958
completely,NGSL,959
female,NGSL,960
responsibility,NGSL,961
original,NGSL,962
sister,NGSL,963
rock,NGSL,964
dream,NGSL,965
nor,NGSL,966
university,NGSL,967
easily,NGSL,968
agency,NGSL,969
dollar,NGSL,970
garden,NGSL,971
fix,NGSL,972
ahead,NGSL,973
cross,NGSL,974
yeah,NGSL,975
weight,NGSL,976
legal,NGSL,977
proposal,NGSL,978
version,NGSL,979
conversation,NGSL,980
somebody,NGSL,981
pound,NGSL,982
magazine,NGSL,983
shape,NGSL,984
sea,NGSL,985
immediately,NGSL,986
welcome,NGSL,987
smile,NGSL,988
communication,NGSL,989
agent,NGSL,990
traditional,NGSL,991
replace,NGSL,992
judge,NGSL,993
herself,NGSL,994
suddenly,NGSL,995
generation,NGSL,996
estimate,NGSL,997
favorite,NGSL,998
difficulty,NGSL,999
purchase,NGSL,1000
shoot,NGSL,1001
announce,NGSL,1002
unless,NGSL,1003
independent,NGSL,1004
recommend,NGSL,1005
survey,NGSL,1006
majority,NGSL,1007
stick,NGSL,1008
request,NGSL,1009
rich,NGSL,1010
wind,NGSL,1011
none,NGSL,1012
exchange,NGSL,1013
budget,NGSL,1014
famous,NGSL,1015
blood,NGSL,1016
appropriate,NGSL,1017
block,NGSL,1018
warm,NGSL,1019
count,NGSL,1020
scene,NGSL,1021
writer,NGSL,1022
content,NGSL,1023
prevent,NGSL,1024
safe,NGSL,1025
invite,NGSL,1026
mix,NGSL,1027
element,NGSL,1028
effective,NGSL,1029
correct,NGSL,1030
medical,NGSL,1031
admit,NGSL,1032
beat,NGSL,1033
telephone,NGSL,1034
copy,NGSL,1035
committee,NGSL,1036
aware,NGSL,1037
advice,NGSL,1038
handle,NGSL,1039
glass,NGSL,1040
trial,NGSL,1041
stress,NGSL,1042
radio,NGSL,1043
administration,NGSL,1044
complex,NGSL,1045
text,NGSL,1046
context,NGSL,1047
ride,NGSL,1048
directly,NGSL,1049
heavy,NGSL,1050
remove,NGSL,1051
conduct,NGSL,1052
equipment,NGSL,1053
otherwise,NGSL,1054
title,NGSL,1055
extra,NGSL,1056
executive,NGSL,1057
chair,NGSL,1058
expensive,NGSL,1059
sample,NGSL,1060
sex,NGSL,1061
deliver,NGSL,1062
video,NGSL,1063
connection,NGSL,1064
primary,NGSL,1065
weather,NGSL,1066
collect,NGSL,1067
inform,NGSL,1068
principle,NGSL,1069
straight,NGSL,1070
appeal,NGSL,1071
highly,NGSL,1072
trust,NGSL,1073
wonderful,NGSL,1074
flat,NGSL,1075
absolutely,NGSL,1076
flow,NGSL,1077
fair,NGSL,1078
additional,NGSL,1079
responsible,NGSL,1080
farm,NGSL,1081
collection,NGSL,1082
hang,NGSL,1083
negative,NGSL,1084
band,NGSL,1085
relative,NGSL,1086
tour,NGSL,1087
alternative,NGSL,1088
software,NGSL,1089
pair,NGSL,1090
ship,NGSL,1091
attitude,NGSL,1092
cheap,NGSL,1093
double,NGSL,1094
leg,NGSL,1095
observe,NGSL,1096
sentence,NGSL,1097
print,NGSL,1098
progress,NGSL,1099
truth,NGSL,1100
nobody,NGSL,1101
examine,NGSL,1102
lay,NGSL,1103
speed,NGSL,1104
politics,NGSL,1105
reply,NGSL,1106
display,NGSL,1107
transfer,NGSL,1108
perfect,NGSL,1109
slightly,NGSL,1110
overall,NGSL,1111
intend,NGSL,1112
user,NGSL,1113
respond,NGSL,1114
dinner,NGSL,1115
slow,NGSL,1116
regular,NGSL,1117
physical,NGSL,1118
apart,NGSL,1119
suit,NGSL,1120
federal,NGSL,1121
reveal,NGSL,1122
percentage,NGSL,1123
peace,NGSL,1124
status,NGSL,1125
crime,NGSL,1126
decline,NGSL,1127
decade,NGSL,1128
launch,NGSL,1129
warn,NGSL,1130
consumer,NGSL,1131
favor,NGSL,1132
dry,NGSL,1133
partner,NGSL,1134
institution,NGSL,1135
spot,NGSL,1136
horse,NGSL,1137
eventually,NGSL,1138
heat,NGSL,1139
excite,NGSL,1140
reader,NGSL,1141
importance,NGSL,1142
distance,NGSL,1143
guide,NGSL,1144
grant,NGSL,1145
taxi,NGSL,1146
feed,NGSL,1147
pain,NGSL,1148
sector,NGSL,1149
mistake,NGSL,1150
ensure,NGSL,1151
satisfy,NGSL,1152
chief,NGSL,1153
cool,NGSL,1154
expert,NGSL,1155
wave,NGSL,1156
south,NGSL,1157
labor,NGSL,1158
surface,NGSL,1159
library,NGSL,1160
excellent,NGSL,1161
edge,NGSL,1162
camp,NGSL,1163
audience,NGSL,1164
lift,NGSL,1165
procedure,NGSL,1166
email,NGSL,1167
global,NGSL,1168
struggle,NGSL,1169
advertise,NGSL,1170
select,NGSL,1171
surround,NGSL,1172
extent,NGSL,1173
river,NGSL,1174
annual,NGSL,1175
fully,NGSL,1176
contrast,NGSL,1177
roll,NGSL,1178
reality,NGSL,1179
photograph,NGSL,1180
artist,NGSL,1181
conflict,NGSL,1182
entire,NGSL,1183
presence,NGSL,1184
crowd,NGSL,1185
corner,NGSL,1186
gas,NGSL,1187
shift,NGSL,1188
net,NGSL,1189
category,NGSL,1190
secretary,NGSL,1191
defense,NGSL,1192
quick,NGSL,1193
cook,NGSL,1194
spread,NGSL,1195
nuclear,NGSL,1196
scale,NGSL,1197
driver,NGSL,1198
ball,NGSL,1199
cry,NGSL,1200
introduction,NGSL,1201
requirement,NGSL,1202
north,NGSL,1203
confirm,NGSL,1204
senior,NGSL,1205
photo,NGSL,1206
refuse,NGSL,1207
transport,NGSL,1208
emerge,NGSL,1209
map,NGSL,1210
concept,NGSL,1211
island,NGSL,1212
reform,NGSL,1213
neither,NGSL,1214
football,NGSL,1215
survive,NGSL,1216
flight,NGSL,1217
left,NGSL,1218
solve,NGSL,1219
neighbor,NGSL,1220
background,NGSL,1221
technique,NGSL,1222
traffic,NGSL,1223
improvement,NGSL,1224
tool,NGSL,1225
consequence,NGSL,1226
circumstance,NGSL,1227
smoke,NGSL,1228
reaction,NGSL,1229
rain,NGSL,1230
busy,NGSL,1231
lesson,NGSL,1232
brain,NGSL,1233
mass,NGSL,1234
funny,NGSL,1235
contribute,NGSL,1236
failure,NGSL,1237
schedule,NGSL,1238
speaker,NGSL,1239
bottom,NGSL,1240
adopt,NGSL,1241
combine,NGSL,1242
mountain,NGSL,1243
waste,NGSL,1244
hide,NGSL,1245
marriage,NGSL,1246
ticket,NGSL,1247
meal,NGSL,1248
colleague,NGSL,1249
bag,NGSL,1250
repeat,NGSL,1251
equal,NGSL,1252
expression,NGSL,1253
plus,NGSL,1254
extremely,NGSL,1255
owner,NGSL,1256
plane,NGSL,1257
commercial,NGSL,1258
lady,NGSL,1259
duty,NGSL,1260
strength,NGSL,1261
connect,NGSL,1262
cultural,NGSL,1263
arrange,NGSL,1264
scheme,NGSL,1265
payment,NGSL,1266
unfortunately,NGSL,1267
brief,NGSL,1268
bird,NGSL,1269
demonstrate,NGSL,1270
contribution,NGSL,1271
appreciate,NGSL,1272
chapter,NGSL,1273
secret,NGSL,1274
apparently,NGSL,1275
novel,NGSL,1276
union,NGSL,1277
burn,NGSL,1278
trend,NGSL,1279
initial,NGSL,1280
pleasure,NGSL,1281
suggestion,NGSL,1282
critical,NGSL,1283
gather,NGSL,1284
mostly,NGSL,1285
earth,NGSL,1286
pop,NGSL,1287
essential,NGSL,1288
desire,NGSL,1289
promote,NGSL,1290
currently,NGSL,1291
employ,NGSL,1292
path,NGSL,1293
topic,NGSL,1294
beach,NGSL,1295
attract,NGSL,1296
engage,NGSL,1297
powerful,NGSL,1298
flower,NGSL,1299
crisis,NGSL,1300
settle,NGSL,1301
boat,NGSL,1302
aid,NGSL,1303
fan,NGSL,1304
kitchen,NGSL,1305
twice,NGSL,1306
fresh,NGSL,1307
delay,NGSL,1308
safety,NGSL,1309
engineer,NGSL,1310
quiet,NGSL,1311
insurance,NGSL,1312
nurse,NGSL,1313
divide,NGSL,1314
length,NGSL,1315
investigation,NGSL,1316
package,NGSL,1317
somewhere,NGSL,1318
expand,NGSL,1319
commit,NGSL,1320
obvious,NGSL,1321
jump,NGSL,1322
weapon,NGSL,1323
relatively,NGSL,1324
host,NGSL,1325
winter,NGSL,1326
district,NGSL,1327
broad,NGSL,1328
tire,NGSL,1329
spring,NGSL,1330
spirit,NGSL,1331
lunch,NGSL,1332
actual,NGSL,1333
pool,NGSL,1334
battle,NGSL,1335
tradition,NGSL,1336
cash,NGSL,1337
hardly,NGSL,1338
award,NGSL,1339
coach,NGSL,1340
experiment,NGSL,1341
consideration,NGSL,1342
strange,NGSL,1343
code,NGSL,1344
possibly,NGSL,1345
threat,NGSL,1346
accident,NGSL,1347
impossible,NGSL,1348
revenue,NGSL,1349
enable,NGSL,1350
afraid,NGSL,1351
active,NGSL,1352
conclude,NGSL,1353
religious,NGSL,1354
cancer,NGSL,1355
convince,NGSL,1356
vary,NGSL,1357
environmental,NGSL,1358
sun,NGSL,1359
healthy,NGSL,1360
blow,NGSL,1361
volume,NGSL,1362
location,NGSL,1363
invest,NGSL,1364
proceed,NGSL,1365
wash,NGSL,1366
actor,NGSL,1367
glad,NGSL,1368
tape,NGSL,1369
whereas,NGSL,1370
opposite,NGSL,1371
stone,NGSL,1372
sum,NGSL,1373
murder,NGSL,1374
monitor,NGSL,1375
soldier,NGSL,1376
finance,NGSL,1377
hate,NGSL,1378
egg,NGSL,1379
concert,NGSL,1380
shock,NGSL,1381
comfortable,NGSL,1382
usual,NGSL,1383
